code;locale;name;descr
AU;de;Australien;Commonwealth Australien
CA;de;Kanada;Canada
CN;de;China;Volksrepublik China
FR;de;Frankreich;Republik Frankreich
DE;de;Deutschland;Bundesrepublik Deutschland
IN;de;Indien;Republik Indien
IL;de;Israel;Staat Israel
MM;de;Myanmar;Republik der Union Myanmar
GB;de;Vereinigtes Königreich;Vereinigtes Königreich Großbritannien und Nordirland
US;de;Vereinigte Staaten;Vereinigte Staaten von Amerika
EU;de;Europäische Union;Europäische Union
AU;fr;Australie;Commonwealth d'Australie
CA;fr;Canada;Canada
CN;fr;Chine;République populaire de Chine (RPC)
FR;fr;France;République française
DE;fr;Allemagne;République fédérale d'Allemagne
IN;fr;Inde;République de l'Inde
IL;fr;Israël;État d'Israël
MM;fr;Birmanie;République de l'Union du Myanmar
GB;fr;Royaume-Uni;Royaume-Uni et Irlande du Nord
US;fr;États-Unis;États-Unis d'Amérique (États-Unis)
EU;fr;Union Européenne;Union Européenne
AU;en;Australie;Commonwealth d'Australie
CA;en;Canada;Canada
CN;en;China;People's Republic of China (PRC)
FR;en;France;French Republic
DE;en;Germany;Federal Republic of Germany
IN;en;India;Republic of India
IL;en;Israel;State of Israel
MM;en;Myanmar;Republic of the Union of Myanmar
GB;en;United Kingdom;United Kingdom of Great Britain and Northern Ireland
US;en;United States;United States of America (USA)
EU;en;European Union;European Union
